Participant,Comment
study304,N/A
study306,"I couldn't believe how annoying it was to do this tedious task. On a trackpad, it was not easy! I felt bad that I was more focused on that than the actual accuracy of the information. Then I felt rushed and worried that I was running out of time because I like to be thorough."
study313,None.
study317,It was a good one
study318,Nice study
study319,"Overall it made sense. I do wish that there was a little more information on who needs what. I read the Help File several times and still am not sure what Greyman Booking is. It wasn't difficult, but it was tedious having to flip back and forth between the Help File and the employee table, especially when something wasn't clear in the Help File."
study326,"This task was moderately demanding but manageable, with steady pace.  There were times I doubled guess myself. Thank you for letting me participate in the study."
study329,"Survey was clear and easy to follow, I probably made some mistakes but overall I think I did a pretty good job after consulting with the help file."
study331,This study had been stressing but mind blowing. I had been mentally challenged this midmorning. I hope this type of study is done again to help participants on this platform challenge their intelligent quotients. Thank you!
study335,Little difficult
study347,Great task. Demanded great attention and thinking.
study348,The task is really demanding
study354,Great study. I enjoyed the task.
study365,"I feel the help file table was somewhat helpful, but could have been more detailed in stating more authorizations for employees of the three teams in the sales departments."
study369,It was fun doing the task!.
study373,Thank you for the opportunity!
study375,Interesting.
study378,It was pretty difficult for me the way it was formatted with everything on top I hope I did it right I tried my best but I'm not 100% confident
study380,It was extremely difficult to read the data on the X axis. 
study383,"I definitely took my time and made sure I didn't make any mistakes. If I did make any mistakes, it was due to a slight misunderstanding of the instructions."
study384,The instructions were quite complicated. It would have been better to do a trial to get a better understanding of the task. 
study385,"This was a fun exercise in reviewing the necessary permissions and looking at each employee's current permissions. I'm moderately confident that I removed all unnecessary access without removing necessary access. There was a tool on the list (I don't recall the name) that a number of employees had access to but that didn't appear in the instructions, so I decided it was a legacy tool no longer needed and removed all access. If you provide feedback on respondents' success rates I'd be interested to see how well I did. Thanks for the opportunity!"
study387,This was fun! I really enjoyed reviewing the access expectations and correcting or approving what access the employees should have!
study399,It was a little complicated at first but along the line I adapted
study401,Thank you for the study! I enjoyed it!
study402,No comment
study403,It was an okay experiment
study405,Too much work for too little pay.
study406,The study was okay.
study408,None
study413,I would love to have a feedback of my performance in this task 
study420,"some of the categories you couldn't even fully read, nor did i know even what all of them meant, even further how am I supposed to know what a position does or does not actually need access to"
study421,"I don't know, I wanted everything to turn out in the best possible way, I wanted to answer in the best way by analyzing the available information, but I know that I may have made some mistakes."
study422,The access review was a valuable exercise in balancing security compliance with operational needs.
study427,Required paying attention and occasional discretion but fairly straightforward overall
study429,"This task was impossible, the directions were not direct and too vague. It was a mess, I doubt anyone could execute this."
study435,It was difficult to decide with overlapping authorizations which was essentially necessary or not for specific subsections of a team or for a secretary or lead as opposed to the general team
study437,Than kyou!
study464,"I really enjoyed this study! However, I do want to mention what slowed down the process was having to always right click to select options as there were many boxes, and if there were letters assigned to what each meant that would've gone easier. It took more time than average to complete the task so I would also stress adding more payment. "
study465,N/A
study468,NA
study471,n/a
study472,i never did find what the Lpac delivery sevice was in that columon
study475,It was challenging but I think I put in my best effort here. 
study487,No remarks.
study501,There was no notes in the help file about who had access to the actual delivery service not just paying the delivery service.
study509,"I loved this task and would love  to try again in the future! I have a similar workflow with submitting tickets to give access to some employees at work so this was fun to read and learn from, thank you again for all that you do!"
study520,No comment 
study527,"Some access areas seemed unclear, e.g. //Documents."
study535,Was an interesting study.
study538,This was a fun task.
study546,A nice study. 
study549,It was interesting to figure out the probabilities of various personnel who should have access to various parameters based upon their position in the company.
study564,no comment
study566,No
study601,I have no further comments.
study604,I enjoyed every bit of it.
study616,"It was such a tedious task to do, as it was like taking on a managerial task in a few moment."
study630,It was an engaging task
study631,"Was a tedious task.  Detailed instructions, which referred to with every decision"
study633,no comment
study637,Very intriguing study 
